TrdExctnQrDt,SizeCategory,TransactionCosts
2015-01-01,Block,7.607055311866511
2015-01-01,Odd Lot,19.697233590267032
2015-01-01,Retail,61.14251267880806
2015-01-01,Round Lot,9.104236760764142
2015-04-01,Block,8.797618683873726
2015-04-01,Odd Lot,19.917308158687128
2015-04-01,Retail,57.70047780730238
2015-04-01,Round Lot,10.217901771231189
2015-07-01,Block,8.912067447450909
2015-07-01,Odd Lot,20.934476024107404
2015-07-01,Retail,60.66404578379796
2015-07-01,Round Lot,11.908910351692574
2015-10-01,Block,10.665115905332854
2015-10-01,Odd Lot,25.26398201340594
2015-10-01,Retail,73.17900288412528
2015-10-01,Round Lot,13.551309756164256
2016-01-01,Block,14.05088706904136
2016-01-01,Odd Lot,30.27975641611031
2016-01-01,Retail,82.10038086513504
2016-01-01,Round Lot,15.82970357425968
2016-04-01,Block,11.02359447370051
2016-04-01,Odd Lot,25.281874049922024
2016-04-01,Retail,72.3771223920149
2016-04-01,Round Lot,14.121890477522934
2016-07-01,Block,9.799537832044864
2016-07-01,Odd Lot,24.150248869335208
2016-07-01,Retail,61.959691814267394
2016-07-01,Round Lot,11.673179999892772
2016-10-01,Block,6.917696958402036
2016-10-01,Odd Lot,20.795248648098564
2016-10-01,Retail,49.305423177098234
2016-10-01,Round Lot,12.211501481303053
2017-01-01,Block,7.804160831103853
2017-01-01,Odd Lot,20.0934126546098
2017-01-01,Retail,50.077834167658
2017-01-01,Round Lot,9.384850877844588
2017-04-01,Block,6.724875756013979
2017-04-01,Odd Lot,18.65414589944391
2017-04-01,Retail,46.11491056904617
2017-04-01,Round Lot,8.88995288119821
2017-07-01,Block,6.903142931211942
2017-07-01,Odd Lot,18.830609235992217
2017-07-01,Retail,44.33397849364115
2017-07-01,Round Lot,9.33281043590599
2017-10-01,Block,7.340074583068156
2017-10-01,Odd Lot,17.956049151225407
2017-10-01,Retail,43.39458589948706
2017-10-01,Round Lot,8.918775799786921
2018-01-01,Block,7.535939182291997
2018-01-01,Odd Lot,16.79738956654922
2018-01-01,Retail,40.196266776791326
2018-01-01,Round Lot,9.776132717681628
2018-04-01,Block,7.8386738922402905
2018-04-01,Odd Lot,15.679252214155904
2018-04-01,Retail,38.834484705137164
2018-04-01,Round Lot,9.142546917029101
2018-07-01,Block,7.407443543243338
2018-07-01,Odd Lot,14.825894890702656
2018-07-01,Retail,36.1623915936682
2018-07-01,Round Lot,8.437333484992477
2018-10-01,Block,9.067501681770382
2018-10-01,Odd Lot,13.635896387588403
2018-10-01,Retail,30.81812881181679
2018-10-01,Round Lot,11.40226501648843
2019-01-01,Block,7.394303151842736
2019-01-01,Odd Lot,16.267522193549777
2019-01-01,Retail,39.37760542815608
2019-01-01,Round Lot,9.650197189060972
2019-04-01,Block,8.578575065006223
2019-04-01,Odd Lot,15.987103040861971
2019-04-01,Retail,37.7118245607152
2019-04-01,Round Lot,9.26510103466709
2019-07-01,Block,9.188769855448921
2019-07-01,Odd Lot,15.8636272862636
2019-07-01,Retail,36.60071191920614
2019-07-01,Round Lot,9.153812750412364
2019-10-01,Block,8.36817759346767
2019-10-01,Odd Lot,14.931645143848872
2019-10-01,Retail,36.95533854504335
2019-10-01,Round Lot,9.63396524427631
2020-01-01,Block,18.956542350258758
2020-01-01,Odd Lot,17.767907311469084
2020-01-01,Retail,56.44359165168616
2020-01-01,Round Lot,20.99496368645623
2020-04-01,Block,16.624641856181427
2020-04-01,Odd Lot,22.414732646957027
2020-04-01,Retail,52.34770373629283
2020-04-01,Round Lot,16.428452912597397
2020-07-01,Block,12.358721432694804
2020-07-01,Odd Lot,15.87040632810981
2020-07-01,Retail,32.85251032216642
2020-07-01,Round Lot,12.447672721199398
2020-10-01,Block,11.728286461266721
2020-10-01,Odd Lot,15.06206090624678
2020-10-01,Retail,29.377354954161916
2020-10-01,Round Lot,11.786624316652931
2021-01-01,Block,9.300008320838439
2021-01-01,Odd Lot,14.034744810312878
2021-01-01,Retail,25.968412998077337
2021-01-01,Round Lot,9.857779517727055
2021-04-01,Block,7.982048660709892
2021-04-01,Odd Lot,12.40069427653028
2021-04-01,Retail,27.20980746655553
2021-04-01,Round Lot,7.802594750043165
2021-07-01,Block,8.387562094633052
2021-07-01,Odd Lot,11.601493489701001
2021-07-01,Retail,24.96894702500934
2021-07-01,Round Lot,7.821929297068316
2021-10-01,Block,9.343126566443257
2021-10-01,Odd Lot,11.571225972254553
2021-10-01,Retail,23.03603573527312
2021-10-01,Round Lot,8.820189078935107
2022-01-01,Block,10.700177359603945
2022-01-01,Odd Lot,13.492447704205235
2022-01-01,Retail,27.04798249045369
2022-01-01,Round Lot,9.921461866982764
2022-04-01,Block,11.584543692399658
2022-04-01,Odd Lot,16.13348288551681
2022-04-01,Retail,31.748131789509113
2022-04-01,Round Lot,11.799693576394375
2022-07-01,Block,11.622346525289531
2022-07-01,Odd Lot,16.655455866192096
2022-07-01,Retail,33.680407583751496
2022-07-01,Round Lot,10.489675031542136
2022-10-01,Block,10.109293464672321
2022-10-01,Odd Lot,16.237764865970544
2022-10-01,Retail,32.34844842103271
2022-10-01,Round Lot,9.458019078671237
2023-01-01,Block,8.953895008281345
2023-01-01,Odd Lot,15.339507522877426
2023-01-01,Retail,32.455280877242096
2023-01-01,Round Lot,9.344988146979437
2023-04-01,Block,8.476235991050146
2023-04-01,Odd Lot,14.615039674889893
2023-04-01,Retail,31.284516484479802
2023-04-01,Round Lot,8.677438791845015
2023-07-01,Block,7.41433824810702
2023-07-01,Odd Lot,13.664154380895091
2023-07-01,Retail,26.791237052240994
2023-07-01,Round Lot,7.545669733741771
2023-10-01,Block,7.821620843148508
2023-10-01,Odd Lot,12.594016995401807
2023-10-01,Retail,27.07202869702143
2023-10-01,Round Lot,8.135823061272347
